Date,Symbol,Company,Open,High,Low,Close,PrevClose,Volume,TradedValue,Trades
19-06-2026,AEROFLEX,AEROFLEX INDUSTRIES LTD,488.4,518.8,486.8,507.25,489,3240258,1637770623,41915
19-06-2026,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,19.43,19.55,19.12,19.19,19.4,3212593,61944562.59,6675
19-06-2026,HINDCOPPER,HINDUSTAN COPPER LTD,506.85,513,500.9,511.15,509.7,3191552,1614797113,54531
19-06-2026,AADHARHFC,AADHAR HOUSING FINANCE L,486.45,524.5,482.05,515.1,486.45,3191119,1632097122,50338
19-06-2026,INDHOTEL,THE INDIAN HOTELS CO. LTD,710.2,728.9,706.05,724.75,710.45,3177687,2295314660,49420
19-06-2026,EQUITASBNK,EQUITAS SMALL FIN BNK LTD,77.1,78.4,76.45,77.25,77.7,3156614,244150176.2,22331
19-06-2026,ABFRL,ADITYA BIRLA FASHION & RT,61.6,61.7,60.21,60.64,61.54,3087993,188070209.5,13799
19-06-2026,GOKEX,GOKALDAS EXPORTS LTD.,777.95,825,765.15,818.7,784.1,3078701,2487438498,80221
19-06-2026,CDSL,CENTRAL DEPO SER (I) LTD,1351.9,1379.4,1337.5,1370.3,1350.4,3067601,4178728958,111640
19-06-2026,J&KBANK,J & K BANK LTD.,162.9,166.23,162.02,163.56,162.9,3046354,499131729,25759
19-06-2026,MANAPPURAM,MANAPPURAM FINANCE LTD,311.75,319.75,305.9,318.65,321.35,3024159,958514080.9,43577
19-06-2026,BATAINDIA,BATA INDIA LTD,785,786,740.3,747.7,789.9,2990336,2272167222,77116
19-06-2026,ADANIGREEN,ADANI GREEN ENERGY LTD,1508,1527,1493.1,1502.4,1506.8,2962921,4471136950,57533
19-06-2026,THOMASCOOK,THOMAS COOK (INDIA) LTD,116.03,116.03,108.71,111.6,116.56,2950171,329743662.6,25860
